dep	jnd	con	fov
0.9	7	20	30
1.1	15	60	10
1.1	10	40	30
0.9	10	60	40
1.2	9	40	30
1.2	11	40	10
1.2	12	40	20
0.9	10	0	10
1	7	20	30
0.8	6	60	10
1.1	12	60	40
1.1	9	60	20
1	10	60	10
0.8	7	40	40
1	12	60	40
1.2	10	20	30
1	9	20	40
1.2	10	20	10
1.2	16	40	40
0.9	8	0	30
1.2	11	0	10
0.8	11	0	40
1.2	12	60	30
0.8	8	60	40
0.9	8	0	40
1.2	12	0	40
1.2	12	60	10
0.8	7	60	20
1.2	8	20	20
1.1	9	40	20
0.9	8	40	30
0.9	14	40	40
1	9	40	20
1	11	60	20
0.9	11	0	20
0.8	7	20	20
0.8	9	20	30
0.8	7	40	20
0.8	7	20	10
1.2	13	60	20
0.9	14	40	10
1	7	0	20
1.1	8	20	30
1	11	60	30
1	8	0	10
1.1	11	40	10
1	5	40	10
1	10	20	10
0.8	7	20	40
1.2	12	60	40
0.9	8	20	10
0.9	6	40	20
1.1	9	0	10
1.2	7	0	20
1	7	40	40
1.2	11	0	30
0.9	7	60	10
1.1	10	60	30
1	9	40	30
1.2	11	20	40
0.9	9	20	40
1.1	11	40	40
1.1	8	0	40
1.1	8	20	20
1	8	20	20
0.8	7	60	30
0.8	10	0	10
0.9	9	60	30
0.9	7	20	20
1	9	0	30
0.9	6	60	20
0.8	6	0	30
1.1	8	20	40
1.1	9	0	30
0.8	8	40	30
0.8	13	40	10
0.8	7	0	20
1.1	16	20	10
1.1	14	0	20
1	10	0	40
