lum	dep	jnd	fov
230	0.9	16	20
230	1.1	20	40
160	0.8	16	40
90	1.1	13	40
90	1	12	40
90	1.1	10	20
20	0.9	10	20
20	0.9	24	40
230	0.9	27	40
160	1.2	17	20
230	1.2	23	30
90	0.9	12	30
90	1.1	12	30
20	1.1	27	40
90	0.8	12	40
90	1.2	9	10
230	1	27	30
230	0.9	13	10
160	0.9	23	40
20	1	11	30
160	0.8	19	30
160	0.8	11	10
20	1	20	40
20	0.9	15	30
160	1.2	23	40
160	0.9	14	20
160	1.1	33	40
230	1.1	25	30
20	1	9	20
20	1	7	10
160	0.9	16	10
160	1	25	40
160	1.1	26	30
20	1.2	22	30
90	1	9	10
160	1	11	10
90	0.8	10	20
90	0.9	9	10
230	0.8	22	30
90	0.8	13	30
90	1.2	7	20
160	1.1	18	20
20	0.8	15	30
160	1.2	13	10
20	1.2	11	10
20	1.1	7	10
20	1.1	8	20
90	1.1	8	10
90	1.2	24	30
20	1.2	10	20
160	1.1	27	10
230	0.9	26	30
20	1.1	18	30
90	0.8	10	10
230	1	13	20
20	0.9	7	10
20	0.8	21	40
160	1	17	20
160	1.2	26	30
90	1	9	20
90	1	21	30
20	0.8	7	10
230	1.2	22	20
230	1.2	42	40
230	0.8	19	40
160	0.9	23	30
20	0.8	13	20
90	0.9	15	40
230	1.1	20	20
90	0.9	9	20
160	1	27	30
230	0.8	14	10
230	0.8	18	20
230	1	32	40
230	1	28	10
230	1.2	16	10
90	1.2	16	40
230	1.1	16	10
160	0.8	13	20
20	1.2	28	40
