eh	fov	dep	jnd	ww	zk	cfo	dxy	lxx	ld						
0	10	0.8	13.16666667	13	20	10	6	13	17						
0	10	0.9	14	11	23	10	8	14	18						
0	10	1	15.33333333	19	26	8	9	14	16						
0	10	1.1	15.83333333	14	26	9	11	18	17						
0	10	1.2	16.16666667	14	21	11	13	21	17						
0	20	0.8	11	9	19	7	7	11	13						
0	20	0.9	13	8	24	11	9	12	14						
0	20	1	13.33333333	10	22	7	11	15	15						
0	20	1.1	13.83333333	12	17	14	9	13	18						
0	20	1.2	15.16666667	13	25	7	13	18	15						
0	30	0.8	10.66666667	9	17	6	8	13	11						
0	30	0.9	13.5	11	26	8	8	12	16						
0	30	1	12.33333333	9	18	9	10	13	15						
0	30	1.1	16	11	25	9	10	12	29						
0	30	1.2	15.83333333	14	20	11	15	14	21						
0	40	0.8	11.66666667	12	19	11	8	11	9						
0	40	0.9	12.5	11	26	8	7	12	11						
0	40	1	12.83333333	15	20	10	9	13	10						
0	40	1.1	14.16666667	11	20	8	14	16	16						
0	40	1.2	17.33333333	12	29	12	13	15	23						
20	10	0.8	13.16666667	8	31	7	8	8	17						
20	10	0.9	13.16666667	9	21	8	10	15	16						
20	10	1	14.16666667	12	26	10	10	13	14						
20	10	1.1	15.5	8	28	16	10	13	18						
20	10	1.2	20.66666667	17	31	10	16	20	30						
20	20	0.8	10.33333333	9	19	7	5	10	12						
20	20	0.9	13.33333333	8	30	7	6	12	17						
20	20	1	12.83333333	10	14	8	11	13	21						
20	20	1.1	14.33333333	11	29	8	8	9	21						
20	20	1.2	14	11	20	8	11	15	19						
20	30	0.8	11.33333333	11	25	9	6	7	10						
20	30	0.9	11.33333333	7	25	7	7	10	12						
20	30	1	11.66666667	9	19	7	6	10	19						
20	30	1.1	13.5	9	24	8	9	11	20						
20	30	1.2	14.33333333	12	19	10	9	10	26						
20	40	0.8	10.66666667	7	22	7	8	10	10						
20	40	0.9	15	10	23	9	7	13	28						
20	40	1	12.66666667	10	23	9	9	11	14						
20	40	1.1	12.5	13	19	8	8	16	11						
20	40	1.2	14	10	19	11	9	15	20						
40	10	0.8	15.33333333	14	24	13	7	17	17						
40	10	0.9	15.66666667	13	27	14	9	16	15						
40	10	1	12.16666667	9	17	5	11	13	18						
40	10	1.1	20.5	14	40	11	18	15	25						
40	10	1.2	18.33333333	0	36	11	10	22	31						
40	20	0.8	12.66666667	7	31	7	9	10	12						
40	20	0.9	11.5	8	19	6	10	8	18						
40	20	1	13.33333333	13	16	9	13	12	17						
40	20	1.1	16.33333333	15	31	9	10	12	21						
40	20	1.2	17.66666667	13	34	12	10	13	24						
40	30	0.8	11.5	7	21	8	6	10	17						
40	30	0.9	11.5	9	25	8	6	10	11						
40	30	1	13.66666667	11	28	9	10	9	15						
40	30	1.1	16.5	9	31	10	11	12	26						
40	30	1.2	16.16666667	8	27	9	11	14	28						
40	40	0.8	11.83333333	9	20	7	7	9	19						
40	40	0.9	13.66666667	11	30	14	7	10	10						
40	40	1	14.33333333	14	25	7	8	16	16						
40	40	1.1	14.83333333	13	23	11	9	12	21						
40	40	1.2	15.16666667	10	37	16	8	11	9						
60	10	0.8	15.5	9	34	6	12	14	18						
60	10	0.9	15	15	20	7	13	18	17						
60	10	1	15	16	21	10	12	14	17						
60	10	1.1	16.16666667	17	20	15	14	14	17						
60	10	1.2	24.33333333	16	35	12	17	23	43						
60	20	0.8	10.33333333	10	15	7	7	12	11						
60	20	0.9	14	13	25	6	9	11	20						
60	20	1	13.83333333	11	23	11	8	14	16						
60	20	1.1	16.83333333	11	29	9	12	21	19						
60	20	1.2	17.66666667	16	28	13	12	18	19						
60	30	0.8	11	11	18	7	6	10	14						
60	30	0.9	12.66666667	9	31	9	6	10	11						
60	30	1	15	11	28	11	9	13	18						
60	30	1.1	14.83333333	14	24	10	9	14	18						
60	30	1.2	17.33333333	16	27	12	8	18	23						
60	40	0.8	10.83333333	8	17	8	9	9	14						
60	40	0.9	14.33333333	10	25	10	11	13	17						
60	40	1	13.5	9	27	12	6	13	14						
60	40	1.1	20.33333333	13	35	12	11	17	34						
60	40	1.2	18.66666667	13	25	12	12	15	35						
