dep	jnd	con	fov
1.2	11	40	30
1.2	15	0	30
1	9	0	10
1	13	40	20
1	11	0	20
1	10	20	10
1	11	20	20
0.9	7	40	40
0.8	12	60	10
1.2	13	0	10
1.1	14	60	10
1	10	0	30
0.9	9	0	20
0.8	6	0	10
1.1	18	40	10
1	11	40	10
1.2	16	20	10
1.1	14	0	40
1	10	40	30
0.8	8	20	40
0.8	8	20	10
1.2	12	60	20
1	12	60	10
0.8	9	60	40
0.9	7	20	30
0.8	8	0	30
0.9	10	20	10
1.2	8	40	40
0.9	6	40	30
1.2	17	60	10
0.8	6	40	30
0.9	6	20	20
0.8	7	40	10
1.2	9	20	40
0.8	8	0	40
0.8	6	60	30
0.9	6	60	30
1.1	12	60	20
1.2	13	0	40
0.8	9	40	20
1.2	12	60	40
0.9	10	40	20
1.2	13	0	20
1.1	11	40	30
1	9	20	40
1.1	11	60	40
0.9	13	60	10
1	9	0	40
1.1	9	40	40
0.8	6	20	30
0.8	7	0	20
1.1	9	60	30
1	9	60	30
1.1	8	20	20
1	8	40	40
0.8	7	60	20
0.9	11	60	40
0.9	9	60	20
0.9	8	0	30
1	8	60	20
1.1	9	20	30
1.2	8	60	30
1.2	10	40	10
0.9	8	0	10
0.9	7	20	40
1	6	60	40
0.8	5	20	20
0.8	7	40	40
1	6	20	30
0.9	7	0	40
1.2	11	20	20
1.1	10	0	30
1.1	10	40	20
1.1	10	20	10
1.1	9	0	20
1.1	11	0	10
1.2	10	40	20
0.9	9	40	10
1.1	8	20	40
1.2	9	20	30
