lum	dep	jnd	fov
230	1.1	22	20
90	1	10	10
160	0.8	13	30
90	0.8	11	40
20	0.8	17	40
230	1.2	14	20
160	1.2	12	20
90	0.8	8	20
230	1	15	30
230	0.8	15	30
90	0.9	7	10
160	1	9	10
160	0.9	13	40
90	0.8	6	10
230	1.1	20	40
20	1.1	26	40
160	1	13	40
20	1.2	15	40
230	1.2	22	40
20	1.2	7	20
230	1.1	15	30
20	0.9	6	20
160	1.1	11	40
90	0.9	7	40
90	0.9	7	20
230	0.9	12	30
90	1.2	6	10
20	1.1	4	10
230	0.8	9	10
20	0.8	5	10
20	0.9	5	10
160	1	16	30
160	1	8	20
160	1.2	11	30
230	0.8	13	20
20	0.9	11	40
160	1.1	8	20
230	1.2	11	10
160	0.9	11	30
90	1.2	10	30
230	1.1	14	10
230	1	10	10
160	0.9	11	20
20	0.8	10	30
160	0.9	12	10
90	1	8	40
20	1.1	10	30
230	1	10	20
160	0.8	12	40
90	1.1	5	10
90	0.9	7	30
90	1.2	16	40
20	1.1	9	20
20	0.8	6	20
20	1	7	20
230	1	18	40
160	0.8	9	10
90	1.1	10	40
90	1	9	20
20	1	11	30
90	1.1	7	20
20	1	18	40
90	1.2	8	20
160	1.1	8	10
230	0.9	10	10
20	1.2	9	10
160	1.1	16	30
230	1.2	16	30
160	0.8	13	20
230	0.9	13	20
160	1.2	13	10
90	0.8	11	30
90	1.1	13	30
160	1.2	13	40
20	1	9	10
20	0.9	8	30
90	1	12	30
20	1.2	19	30
230	0.9	20	40
230	0.8	17	40
