dep	jnd	con	fov
1	14	20	10
1	16	40	40
0.9	11	60	30
1.1	17	60	10
1.1	20	20	30
0.9	28	20	40
0.9	16	20	10
1.2	30	20	10
1	21	20	20
1.2	23	0	40
1.1	29	0	30
1.2	17	0	10
0.9	12	20	30
1.1	18	60	30
0.8	10	20	30
1	10	0	40
1.1	21	40	20
0.9	16	0	30
1	16	60	20
1.1	19	60	20
0.8	14	60	30
0.8	17	20	10
0.8	14	60	40
1.2	9	40	40
0.9	18	0	10
0.9	10	40	40
1.2	31	40	10
0.8	17	40	30
0.9	14	0	20
0.8	9	0	40
0.8	13	0	20
1	14	20	40
1	19	20	30
0.9	15	40	10
0.9	11	40	30
0.8	11	60	20
0.8	11	0	30
1	18	40	10
1.2	20	20	40
1	15	0	20
1.1	17	0	10
0.8	19	40	40
0.9	20	60	20
1.2	28	40	30
0.8	18	60	10
0.9	17	60	10
0.9	17	20	20
1	16	0	10
1.2	24	40	20
1.1	16	0	40
1.1	26	40	30
1.2	26	20	30
1.2	19	20	20
1	14	60	40
1	18	60	30
1.1	21	20	20
0.9	17	60	40
1.1	25	40	10
1.2	19	60	20
1	17	60	10
1	17	40	20
0.8	12	40	20
1.1	34	60	40
1	15	40	30
0.9	18	40	20
1.2	15	0	20
1.1	21	40	40
0.8	12	20	20
1	15	0	30
1.1	11	20	40
0.8	17	0	10
0.9	11	0	40
1.1	18	20	10
0.8	10	20	40
1.2	43	60	10
1.2	21	0	30
1.2	35	60	40
1.1	18	0	20
1.2	23	60	30
0.8	17	40	10
