lum	dep	jnd	fov
20	0.8	9	10
230	1.1	47	20
230	0.9	18	10
160	0.9	14	30
90	1	16	40
20	0.9	17	30
90	0.9	15	10
20	0.9	19	40
160	0.9	25	40
90	1.1	19	30
90	0.9	20	40
20	1.1	29	40
160	0.8	28	40
230	0.9	24	30
20	0.8	13	30
230	1	29	10
90	0.8	23	30
160	1.1	21	30
160	1.2	14	30
20	1.2	24	20
160	0.8	11	20
20	1.1	9	10
20	1.1	14	30
20	0.9	5	10
160	1.1	25	40
20	1.2	15	40
20	1	13	20
90	1.2	14	30
20	1	21	40
160	1.1	10	10
20	1	12	10
160	1	15	30
160	0.8	18	30
230	1	38	20
90	1.1	9	10
230	0.9	28	20
90	1.2	16	10
160	1	19	10
90	0.9	0	20
230	1	39	30
90	1	9	10
230	0.8	16	10
160	1	20	40
160	1.2	12	10
20	1.2	11	10
90	1.1	10	20
90	0.8	8	10
160	1.2	21	40
160	0.8	10	10
90	1.2	10	20
230	1.2	39	40
230	1	25	40
20	1	24	30
230	0.8	24	40
230	1.2	23	30
160	1.1	12	20
20	0.8	20	40
230	0.9	26	40
90	0.8	17	40
160	1.2	22	20
20	1.1	14	20
160	0.9	14	20
90	1.1	30	40
230	1.2	24	20
90	1.2	14	40
230	1.1	42	40
90	1	13	20
90	1	13	30
230	1.1	21	30
230	1.1	19	10
20	0.8	15	20
90	0.8	7	20
230	0.8	34	30
230	0.8	12	20
20	1.2	28	30
90	0.9	16	30
20	0.9	9	20
230	1.2	13	10
160	1	11	20
160	0.9	10	10
