lum	fov	dep	jnd	ww	zk	cfo	dxy	lxx	ld
20	10	0.8	9.166666667	11	14	7	5	9	9
20	10	0.9	8.5	10	16	7	5	8	5
20	10	1	11.66666667	12	19	7	9	11	12
20	10	1.1	11.66666667	20	22	7	4	8	9
20	10	1.2	12.33333333	9	24	11	9	10	11
20	20	0.8	12.16666667	13	15	13	6	11	15
20	20	0.9	11.16666667	14	17	10	6	11	9
20	20	1	14.83333333	23	25	9	7	12	13
20	20	1.1	13.83333333	20	19	8	9	13	14
20	20	1.2	18.16666667	25	28	10	7	15	24
20	30	0.8	13.66666667	12	20	15	10	12	13
20	30	0.9	16.16666667	17	28	15	8	12	17
20	30	1	15.5	8	26	11	11	13	24
20	30	1.1	18.33333333	23	31	18	10	14	14
20	30	1.2	24.5	17	36	22	19	25	28
20	40	0.8	19.5	17	25	21	17	17	20
20	40	0.9	18	11	29	24	11	14	19
20	40	1	21.5	21	30	20	18	19	21
20	40	1.1	27.5	14	47	27	26	22	29
20	40	1.2	25.33333333	29	36	28	15	29	15
90	10	0.8	10.83333333	9	20	10	6	12	8
90	10	0.9	12	14	17	9	7	10	15
90	10	1	11.5	11	18	9	10	12	9
90	10	1.1	10.83333333	15	15	8	5	13	9
90	10	1.2	14.16666667	17	24	9	6	13	16
90	20	0.8	10.83333333	11	18	10	8	11	7
90	20	0.9	10.83333333	16	22	9	7	11	0
90	20	1	13.66666667	16	19	9	9	16	13
90	20	1.1	13.16666667	12	21	10	7	19	10
90	20	1.2	13.16666667	15	25	7	8	14	10
90	30	0.8	16	11	20	13	11	18	23
90	30	0.9	14.33333333	8	28	12	7	15	16
90	30	1	17.66666667	12	27	21	12	21	13
90	30	1.1	15.66666667	14	23	12	13	13	19
90	30	1.2	18.5	17	26	24	10	20	14
90	40	0.8	14.83333333	11	23	12	11	15	17
90	40	0.9	16.66666667	17	26	15	7	15	20
90	40	1	16	18	26	12	8	16	16
90	40	1.1	19.5	20	26	13	10	18	30
90	40	1.2	20.16666667	20	37	16	16	18	14
160	10	0.8	13.83333333	14	26	11	9	13	10
160	10	0.9	15.16666667	15	20	16	12	18	10
160	10	1	16.66666667	19	24	11	9	18	19
160	10	1.1	18.66666667	19	33	27	8	15	10
160	10	1.2	15.83333333	17	21	13	13	19	12
160	20	0.8	16.16666667	17	26	13	13	17	11
160	20	0.9	16.83333333	14	31	14	11	17	14
160	20	1	15.16666667	12	23	17	8	20	11
160	20	1.1	19.83333333	31	30	18	8	20	12
160	20	1.2	19.16666667	17	31	17	12	16	22
160	30	0.8	18.16666667	15	25	19	13	19	18
160	30	0.9	20	22	35	23	11	15	14
160	30	1	23.16666667	22	42	27	16	17	15
160	30	1.1	24.83333333	34	34	26	16	18	21
160	30	1.2	20	18	33	26	11	18	14
160	40	0.8	23	25	38	16	12	19	28
160	40	0.9	23.5	27	35	23	13	18	25
160	40	1	22.5	28	34	25	13	15	20
160	40	1.1	20.66666667	15	23	33	11	17	25
160	40	1.2	24.83333333	41	28	23	13	23	21
230	10	0.8	18.16666667	20	35	14	9	15	16
230	10	0.9	20.33333333	20	36	13	10	25	18
230	10	1	25.66666667	19	44	28	10	24	29
230	10	1.1	23.66666667	34	36	16	14	23	19
230	10	1.2	27.33333333	26	53	16	11	45	13
230	20	0.8	20	19	28	18	13	30	12
230	20	0.9	23.33333333	21	36	16	13	26	28
230	20	1	23.66666667	23	33	13	10	25	38
230	20	1.1	28.16666667	34	24	20	22	22	47
230	20	1.2	26.33333333	26	42	22	14	30	24
230	30	0.8	29.66666667	24	41	22	15	42	34
230	30	0.9	22.33333333	20	33	26	12	19	24
230	30	1	27	24	36	27	15	21	39
230	30	1.1	25.83333333	25	38	25	15	31	21
230	30	1.2	25.16666667	22	25	23	16	42	23
230	40	0.8	23.83333333	27	34	19	17	22	24
230	40	0.9	29.83333333	36	46	27	20	24	26
230	40	1	27.16666667	29	36	32	18	23	25
230	40	1.1	27.66666667	24	38	20	20	22	42
230	40	1.2	36.16666667	29	47	42	22	38	39
