dep	jnd	con	fov
1.2	15	20	20
1	15	0	20
1.2	15	0	40
0.8	17	40	10
0.9	12	0	40
0.8	11	0	20
1	13	20	20
0.8	12	60	20
0.9	13	60	40
0.9	12	20	20
1.2	23	60	10
1.2	10	20	30
1.2	18	60	20
1	13	0	30
1.1	16	0	40
1.2	22	40	10
1.1	13	20	10
0.8	8	20	10
1.1	9	20	20
1.2	11	40	40
1	13	60	30
1.1	14	60	30
0.8	14	60	10
1	14	0	10
1	13	0	40
1	10	20	30
1	13	60	40
1.2	18	60	30
0.9	10	40	30
0.8	13	0	10
1	14	60	10
0.8	9	40	40
0.9	10	40	40
1.2	14	0	30
0.9	8	40	20
0.9	10	60	30
0.8	10	60	30
1	9	40	30
1.2	15	20	40
0.9	13	20	40
0.8	10	20	40
1.2	20	20	10
1	16	40	40
0.8	10	40	20
1.1	21	60	20
0.9	12	0	20
0.9	15	20	10
0.8	10	40	30
1.1	16	20	40
1.1	15	40	10
1.1	12	40	20
1.2	18	0	20
0.8	9	60	40
0.8	10	20	20
1.2	14	40	30
1	12	40	20
1.1	18	0	10
1.2	21	0	10
1	13	40	10
1.2	13	40	20
1.1	13	0	20
1	11	20	40
0.8	7	20	30
1	13	20	10
1.2	15	60	40
0.9	11	60	20
1.1	11	20	30
1.1	12	40	40
0.9	16	40	10
0.9	18	60	10
1.1	14	60	10
0.9	14	0	10
1	14	60	20
0.9	12	0	30
1.1	17	60	40
0.9	10	20	30
0.8	11	0	40
1.1	12	40	30
0.8	13	0	30
1.1	12	0	30
