lum	dep	jnd	fov
20	0.9	14	40
230	0.8	15	10
230	1	23	40
90	0.9	11	20
160	0.8	19	40
20	1	13	30
20	1.2	10	10
230	1	21	30
160	0.9	17	20
90	1	16	40
20	0.8	12	30
230	0.9	19	30
230	1.1	31	30
90	1.1	13	10
160	1	15	40
160	1.1	17	40
90	0.8	15	40
160	0.9	18	10
20	1.1	8	10
160	1.1	15	10
90	0.8	11	20
230	0.9	24	40
20	1	19	40
230	1.2	38	40
230	1	25	20
160	1.2	16	20
230	0.9	25	10
90	0.8	12	10
20	1.2	15	20
90	0.8	18	30
90	0.9	10	10
160	1	20	20
20	1.2	29	40
230	1.1	23	10
160	1.2	18	30
230	1.2	45	10
90	1	21	30
230	1.2	30	20
90	1.2	18	40
90	1.1	18	40
20	1.1	22	40
160	1.1	20	20
20	0.8	11	20
230	1	24	10
90	1.2	14	20
20	0.8	17	40
160	0.8	19	30
160	1	17	30
230	1.1	22	40
90	1.2	13	10
20	1.1	13	20
160	0.8	17	20
90	0.9	15	30
230	1.1	22	20
90	1.1	19	20
90	0.9	15	40
20	0.9	8	10
20	1.1	14	30
230	0.8	42	30
20	0.8	9	10
160	0.9	18	40
230	0.8	22	40
20	0.9	12	30
160	1	18	10
160	1.2	19	10
230	0.9	26	20
20	1	12	20
160	1.2	23	40
160	0.8	13	10
90	1	16	20
90	1	12	10
230	1.2	42	30
160	0.9	15	30
90	1.1	13	30
20	1.2	25	30
20	0.9	11	20
90	1.2	20	30
160	1.1	18	30
20	1	11	10
230	0.8	30	20
